52;male;Oxford;john.hillnob@ninjamail.org
95;male;Leicester;linda.mellonson@ninyahoo.co
54;male;Oxford;mary.nipson@ninyahoo.co
101;female;Cambridge;jason.castlenob@ninjamail.org
67;male;Cambridge;diana.castlebutter@ninjamail.org
76;male;Oxford;mary.gradnip@hotsumo.com
88;male;Newcastle;john.nipwhale@ninyahoo.co
46;male;Newcastle;john.hillwhale@hotsumo.com
71;female;Leicester;tim.nobwhale@hotsumo.com
22;female;Newcastle;tim.whalenob@dojobox.net
57;female;London;anna.castlemellon@ninjamail.org
96;female;Newcastle;diana.castlecastle@ninjamail.org
57;female;Leicester;diana.nobsmith@ninyahoo.co
30;female;London;carol.whalenob@ninyahoo.co
25;female;London;anna.gradhill@hotsumo.com
64;female;London;john.castlebutter@ninyahoo.co
68;female;London;mary.nobmellon@ninjamail.org
36;female;Newcastle;carol.smithgrad@dojobox.net
24;male;London;david.hillcastle@ninyahoo.co
50;male;Newcastle;maggie.smithgrad@dojobox.net
65;female;London;anna.nipsmith@ninyahoo.co
91;male;Leicester;diana.underbutter@ninyahoo.co
50;male;Leicester;maggie.butterson@ninjamail.org
96;female;Leicester;mary.scotchnob@dojobox.net
79;female;Oxford;tim.butternip@ninyahoo.co
